status_id;status_message;link_name;status_type;status_link;date_published;hour_published;num_reactions;num_comments;num_shares;num_likes;num_loves;num_wows;num_hahas;num_sads;num_angrys;num_special
604876072984693_752475788224720;Quarta-feira de mobilização pela prevenção e conscientização do câncer de mama. Faça regularmente o autoexame. Cuidar de si é um ato de amor! #OutubroRosa #mulherconsciente #câncerdemama;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/752475788224720/?type=3;2016-10-19;12:09:49;27;0;7;26;1;0;0;0;0;0
604876072984693_751702848302014;Quando o contribuinte deixa de pagar um tributo municipal, ele se torna devedor e é gerada uma Certidão da Dívida Ativa (CDA). A CDA pode ser protestada gratuitamente pelas Prefeituras através da Central de Remessa de Arquivos. Cobre da sua Prefeitura a adesão ao sistema e ajude sua cidade a recuperar recursos que podem ser investidos para melhorar a vida de todos!;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/751702848302014/?type=3;2016-10-18;08:14:21;7;0;3;7;0;0;0;0;0;0
604876072984693_749337345205231;Pare de correr atrás de quem te deve! O protesto é a maneira mais eficiente para cobrar e receber uma dívida. Mais de 65% dos títulos e documentos encaminhados para protesto são resolvidos em até 3 dias úteis. Saiba mais em www.protestors.com.br.;giphy.com;link;https://giphy.com/gifs/l0HlAzuJqzZUxNIBi;2016-10-14;07:27:50;417;0;19;411;1;2;3;0;0;0
604876072984693_748806925258273;Rio Grande do Sul aderindo cada vez mais ao protesto!;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/748806925258273/?type=3;2016-10-13;11:54:28;15;0;1;15;0;0;0;0;0;0
604876072984693_745723362233296;Receba em pouquíssimo tempo aquela dívida antiga! Com o protesto, mais de 65% das dívidas são solucionadas em até três dias úteis.;giphy.com;link;https://giphy.com/gifs/l3vRjirXABbTdKWhW;2016-10-07;13:41:14;327;4;12;315;4;0;7;1;0;0
604876072984693_744675205671445;Começando a assembleia geral extraordinária do IEPRO-RS para deliberar temas importantes para o futuro dos Cartórios de Protesto.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/744675205671445/?type=3;2016-10-05;12:32:22;13;0;0;13;0;0;0;0;0;0
604876072984693_743529625786003;Se você receber um telefonema ou e-mail informando sobre um título ou documento protestado em seu nome e oferecendo a oportunidade de negociar através de depósito ou transferência, fique atento: é golpe. Para sua segurança, entre em contato com o Cartório de Protesto do seu município.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/743529625786003/?type=3;2016-10-03;09:14:23;8;0;2;8;0;0;0;0;0;0
604876072984693_741496539322645;A Central de Remessas de Arquivos (CRA) abrange os 291 Cartórios de Protesto do Rio Grande do Sul alcançando todos os 497 municípios gaúchos. Você pode enviar títulos e documentos de dívida para protesto de qualquer ponto do estado sem sair de casa. Entre em contato e saiba como firmar convênio para aproveitar todas as facilidades proporcionadas pela CRA.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/741496539322645/?type=3;2016-09-29;17:23:00;14;0;2;14;0;0;0;0;0;0
604876072984693_740548362750796;O final de semana foi de muita interação e troca de experiências para nossa equipe em Brasília. Na Convergência P21 pudemos conhecer a realidade de CRAs de outros estados, ver novas práticas e aperfeiçoar aspectos rotineiros para qualificar cada vez mais o atendimento aos Cartórios de Protesto, empresas e órgãos públicos.;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/740548362750796/?type=3;2016-09-27;13:20:31;19;0;2;17;2;0;0;0;0;0
604876072984693_740045279467771;No período eleitoral não faltam candidatos fazendo promessas se forem eleitos. Com a Central de Remessa de Arquivos todas as prefeituras do estado podem protestar as dívidas municipais de forma online e gratuita com suporte integral do Instituto de Protesto. Aproveite as eleições e cobre seu candidato a adesão ao sistema. É mais dinheiro para investimentos no cofre do seu município!;Timeline Photos;photo;https://www.facebook.com/protestors/photos/a.606037049535262.1073741828.604876072984693/740045279467771/?type=3;2016-09-26;11:31:13;176;0;6;175;1;0;0;0;0;0
